number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio
0.75,0.7499554446622705,0.7507507507507509,0.7735191637630663,0.22105263157894736,0.7714285714285715,0.812807881773399,0.3409961685823754,0.6952412280701754,0.3577376276512175,0.9012875536480687,0.148,0.831304347826087,0.7586206896551725
0.75,0.7499554446622705,0.8078078078078077,0.7442508710801393,0.18596491228070175,0.7936507936507936,0.8497536945812808,0.4022988505747126,0.7020394736842105,0.3577376276512175,0.9184549356223176,0.191,0.831304347826087,0.7586206896551725
0.75,0.7499554446622705,0.8108108108108106,0.7421602787456447,0.18596491228070175,0.8063492063492064,0.8522167487684729,0.37164750957854403,0.6710526315789473,0.3577376276512175,0.8798283261802574,0.161,0.831304347826087,0.7586206896551725
0.75,0.7499554446622705,0.7477477477477479,0.7742160278745646,0.24210526315789474,0.7777777777777778,0.8103448275862069,0.3026819923371647,0.7040131578947367,0.3577376276512175,0.8583690987124464,0.134,0.831304347826087,0.7586206896551725
0.75,0.7499554446622705,0.8258258258258256,0.7358885017421604,0.24210526315789474,0.8158730158730159,0.8596059113300493,0.3486590038314177,0.6952412280701754,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725
0.75,0.7499554446622705,0.7987987987987987,0.7484320557491289,0.5719298245614035,0.7777777777777778,0.8374384236453202,0.3908045977011494,0.6467105263157894,0.3577376276512175,0.9356223175965666,0.199,0.6921739130434783,0.7586206896551725
0.875,0.8749777223311352,0.8258258258258256,0.8752613240418119,0.45964912280701753,0.9206349206349206,0.9285714285714286,0.19540229885057475,0.8618421052631579,1.0,0.8068669527896996,0.076,0.48869565217391314,0.8793103448275864
0.875,0.8749777223311352,0.8168168168168166,0.8808362369337979,0.23508771929824562,0.8603174603174604,0.8891625615763546,0.23371647509578547,0.8068640350877193,0.3577376276512175,0.9055793991416308,0.101,0.8469565217391305,0.8793103448275864
0.875,0.8749777223311352,0.8648648648648648,0.853658536585366,0.29265536723163843,0.8888888888888888,0.9236453201970444,0.2720306513409962,0.7938377192982456,0.3577376276512175,0.8884120171673818,0.112,0.9043478260869566,0.8793103448275864
0.875,0.8749777223311352,0.8258258258258256,0.8752613240418119,0.29265536723163843,0.8666666666666667,0.896551724137931,0.20689655172413787,0.8048464912280702,0.3577376276512175,0.8755364806866953,0.107,0.9043478260869566,0.8793103448275864
0.875,0.8749777223311352,0.8108108108108106,0.883623693379791,0.34035087719298246,0.8666666666666667,0.8891625615763546,0.210727969348659,0.8311622807017544,0.45223880597014926,0.8583690987124464,0.093,0.9043478260869566,0.8793103448275864
0.875,0.8749777223311352,0.8558558558558558,0.8599303135888501,0.21754385964912282,0.8761904761904762,0.8866995073891626,0.1302681992337164,0.769780701754386,0.3577376276512175,0.9270386266094421,0.127,0.8469565217391305,0.8793103448275864
0.875,0.8749777223311352,0.8888888888888888,0.8425087108013937,0.29265536723163843,0.8920634920634921,0.9359605911330049,0.3065134099616858,0.7740350877192982,0.3577376276512175,0.9012875536480687,0.1255,0.9043478260869566,0.8793103448275864
0.875,0.8749777223311352,0.8648648648648648,0.8543554006968642,0.29265536723163843,0.8952380952380953,0.9261083743842364,0.2567049808429118,0.8048464912280702,0.3577376276512175,0.8712446351931329,0.1215,0.8469565217391305,0.8793103448275864
0.875,0.8749777223311352,0.8828828828828827,0.8452961672473868,0.256140350877193,0.8888888888888888,0.9285714285714286,0.3065134099616858,0.769780701754386,0.3577376276512175,0.9012875536480687,0.153,0.9043478260869566,0.8793103448275864
